[Wed Aug 10 17:54:35.347000 2016] [:error] [pid 1712] [client 71.119.185.97:55593] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 42
[Wed Aug 10 17:56:43.099906 2016] [:error] [pid 1714] [client 71.119.185.97:55613] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 17:56:43.115838 2016] [:error] [pid 1714] [client 71.119.185.97:55613] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 46
[Wed Aug 10 17:56:43.115852 2016] [:error] [pid 1714] [client 71.119.185.97:55613] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 47
[Wed Aug 10 17:56:43.115866 2016] [:error] [pid 1714] [client 71.119.185.97:55613] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 48
[Wed Aug 10 17:57:02.430309 2016] [:error] [pid 1715] [client 71.119.185.97:55617] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 17:57:02.445903 2016] [:error] [pid 1715] [client 71.119.185.97:55617] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 47
[Wed Aug 10 17:57:02.445914 2016] [:error] [pid 1715] [client 71.119.185.97:55617] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 48
[Wed Aug 10 17:57:02.445918 2016] [:error] [pid 1715] [client 71.119.185.97:55617] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 49
[Wed Aug 10 18:06:36.618832 2016] [:error] [pid 1716] [client 71.119.185.97:55829] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 18:06:36.621647 2016] [:error] [pid 1716] [client 71.119.185.97:55829] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 54
[Wed Aug 10 18:06:36.621657 2016] [:error] [pid 1716] [client 71.119.185.97:55829] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 55
[Wed Aug 10 18:06:36.621660 2016] [:error] [pid 1716] [client 71.119.185.97:55829] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 56
[Wed Aug 10 18:07:17.429721 2016] [:error] [pid 7488] [client 71.119.185.97:55830] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 18:07:17.440204 2016] [:error] [pid 7488] [client 71.119.185.97:55830] PHP Notice:  Undefined variable: contentArray in /var/www/html/query/json.php on line 38
[Wed Aug 10 18:07:17.441871 2016] [:error] [pid 7488] [client 71.119.185.97:55830] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 47
[Wed Aug 10 18:07:17.441880 2016] [:error] [pid 7488] [client 71.119.185.97:55830] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 48
[Wed Aug 10 18:07:17.441884 2016] [:error] [pid 7488] [client 71.119.185.97:55830] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 49
[Wed Aug 10 18:07:45.284288 2016] [:error] [pid 14996] [client 71.119.185.97:55840] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
[Wed Aug 10 18:07:45.286925 2016] [:error] [pid 14996] [client 71.119.185.97:55840] PHP Notice:  Use of undefined constant lift_sampling_rate - assumed 'lift_sampling_rate' in /var/www/html/query/json.php on line 54
[Wed Aug 10 18:07:45.286935 2016] [:error] [pid 14996] [client 71.119.185.97:55840] PHP Notice:  Use of undefined constant lift_weight - assumed 'lift_weight' in /var/www/html/query/json.php on line 55
[Wed Aug 10 18:07:45.286939 2016] [:error] [pid 14996] [client 71.119.185.97:55840] PHP Notice:  Use of undefined constant lift_weight_units - assumed 'lift_weight_units' in /var/www/html/query/json.php on line 56
[Wed Aug 10 18:09:01.256267 2016] [:error] [pid 1713] [client 71.119.185.97:55851] PHP Notice:  Undefined index: liftid in /var/www/html/query/json.php on line 4
